Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolzina opisa (črke)
Jagodne rezine brez peke,Sladice,1,20,325,6,10,"Rezine z maslenim piškotnim dnom, sladko mlečno sredico in jagodno ‘kapo’ so pripravljene v samo nekaj minutah. Na peko lahko pozabite, pred rezanjem pa morate sladico samo dobro ohladiti.",29,160
Torta St. Honore (iz MasterChefa),MasterChef,1,120,250,9,17,"Gateau St. Honore je francoska klasika, za katero je potrebnega veliko znanja in natančnosti. Krhko testo obložimo s kremo in sočnimi polnjenimi profiteroli, za dekoracijo pa poskrbijo karamelni laski.",29,173
Opera torta (iz MasterChefa),MasterChef,1,150,365,7,23,"Opera torta je znana francoska poslastica, ki je narejena iz plasti mandljevega biskvita, prepojenega s kavnim sirupom, premazanega s kavno kremo in čokoladno ganaš kremo, torta pa je za piko na i prelita še s čokoladnim oblivom. Gre za resnično elegantno in bogato poslastico, ki poskrbi za pravo harmonijo okusov, v kateri bodo uživali ljubitelji kave, čokolade in mandljev.",59,318
Paris Brest (iz MasterChefa),MasterChef,1,150,260,7,19,"Slastna dobrota, za katero se splača malo potruditi.",8,45
Medena torta medovik (iz MasterChefa),MasterChef,1,130,376,6,8,"Znamenita ruska medena torta, pri kateri je zelo pomembno pravilno balansiranje okusov.",12,76
Kvašeni masleni rogljički,Pecivo,2,200,390,8,13,"Rogljički, pripravljeni po spodnjem receptu, so zelo rahli in mehki, odlikuje pa jih tudi bogat masleni okus. Zagotavljamo vam, da se vam bodo topili v ustih!",26,133
Polnjene paprike iz pečice,Kaj skuhati,1,50,136,6,10,"Polnjene paprike 'malo drugače'. Pečene v pečici in brez paradižnikove omake, s katero jih navadno postrežemo. A kljub temu je jed naravnost izvrstna in vas bo navdušila tudi z enostavno pripravo.",31,166
Mediteranske piščančje kroglice z jogurtovo pomako,Na hitro,1,35,160,5,16,"Piščančje kroglice s sušenimi paradižniki, česnom, baziliko in origanom. Maso zanje pripravite kar s pomočjo multipraktika ali sekljalnika. Priprava je zato hitra, medtem ko se bodo kroglice pekle, pa boste lahko v miru zmešali še pomako. Pripravo kroglic in pomake si oglejte v spodnjem videu.",45,250
Polpeti iz blitve in krompirja,Zelenjava,1,30,78,6,11,"Super način, kako lahko porabite blitvo in morda navdušite tudi najmlajše jedce. Polpete lahko postrežete kot prilogo, lahko pa si jih privoščite kar same, denimo z jogurtovo ali paradižnikovo pomako.",30,171
Češnjeve kremne rezine,Sladice,1,60,292,5,15,"Za vse, ki obožujete kremne sladice. Nad piškotnim dnom boste razporedili zdrob z češnjami, ga prelili s kremo z vanilijevim pudingom ter vse skupaj prekrili s stepeno smetano. Kot da bi jedli kremne rezine s češnjami.",36,183
Zapečene palačinke z mletim mesom in zelenjavo,Kosilo,1,60,196,8,19,"Ena tistih jedi, katerih priprava vam bo sicer vzela malo več časa, vendar pa bo ves trud bogato poplačan, ko jo boste servirali na mizo. Jed je nasitna in izjemno okusna, dobrih domačih palačinke pa se tudi vedno vsi razveselijo.",40,191
Piščančji zrezki v kremni omaki s sušenimi paradižniki,Kaj skuhati,1,30,234,6,10,"Sočno in hitro pripravljeno piščančje meso v slastni omaki, obogateni z italijanskimi začimbami in sušenimi paradižniki.",16,105
Hitro pecivo z jagodami,Pecivo,1,30,184,5,9,"Listnato testo, jagodna marmelada, smetana in jagode. Sliši se tako zelo preprosto, a je kombinacija slastna. Sladico boste pripravili v hipu, z njo pa boste zagotovo navdušili domače in/ali goste.",30,168
Listnati zavitek z marmelado in mascarponejem,Pecivo,1,45,270,9,10,"Hitro pripravljen zavitek z marmelado in mascarponejem bo deležen številnih pohval. Zanj potrebujete zgolj sveže listnato testo v rolici, mascarpone sir in jagodno marmelado, za poseben 'wow' učinek pa poskrbi postopek prepletanja testa, s katerim bo preprost zavitek postal prava paša za oči. Da o užitku vaših brbončic niti ne govorimo.",51,288
Babičino pecivo s sadjem,Pecivo,1,45,91,5,14,"Naše mame in babice so bile v kuhnji prave mojstrice in so skorajda 'iz nič' znale ustvariti okusne in slastne dobrote. Ena takih, ki se jo z veseljem spominjam, je to hitro in okusno pecivo, obloženo s češnjami in pokapljano z domačo marmelado za domačo sočnost. Za merjenje ne potrebujemo tehtnice, saj sestavine odmerimo kar z jogurtovim lončkom. Brez dodatka marmelade je pecivo bolj suho in lahko brez težav zdrži par dni, ampak nam se to še ni zgodilo. Zelo priročno je za transport, zato ga lahko vzamemo tudi s sabo na izlet, v službo za malico ali pa odnesemo na piknik k dobrim prijateljem.",105,496
Hitre ovsene rezine s skuto in paradižniki,Zdravo in vegi,1,55,159,6,10,"Hitre ovsene rezine brez glutena, ki smo jim dodali sušene paradižnike in svežo baziliko. Slednjo lahko nadomestite tudi s posušeno, za posip pa lahko uporabite tudi druga semena. Postopek priprave si oglejte v spodnjem videu.",35,192
Ocvrte mesne polpete,Meso,1,35,223,5,11,"Polpete so odlična izbira za prav vse dni v tednu - med delavnikom, ko se nam navadno mudi in tudi za vikend, ko imamo za kuhanje na voljo malo več časa. Razlog njihove vsesplošne priljubljenosti se najverjetneje skriva v dejstvu, da jih imajo radi tudi otroci, k polpetam pa lahko ponudimo številne priloge. Med najbolj klasičnimi so pire krompir, krompirjeva solata, kremna špinača in paradižnikova omaka, pogosto pa se na krožniku znajdejo tudi v spremljavi kakšnega praženega krompirja in dušenega zelja.",81,428
Špargljeva juha s krompirjem,Juhe in jedi na žlico,1,35,71,7,7,"Kremna špargljeva juha s krompirjem je hitro pripravljena in odličnega okusa, primerna pa je tako za kosilo kot tudi za večerjo. Njena tekstura je zaradi dodatka krompirja zelo kremna in svilnata, zato dodajanje smetane ni potrebno.",36,197
Krhke košarice z mascarpone kremo in sadjem,Pecivo,1,50,424,7,13,"Krhke sadne košarice, napolnjene z različnimi kremami, so v zadnjem času postale pravi hit na domačih zabavah, pogostitvah in raznoraznih praznovanjih. Tokrat vam ponujamo preprost recept s hitro pripravljeno mascarpone kremo, ki se odlično ujame z jagodičevjem.",37,226
Pečene marinirane perutničke,Meso,1,45,244,6,9,"Slastne perutničke, ki vam bodo šle v slast. Marinirane v okusni marinadi in pečene v pečici, so odlična ideja za hitro pripravljeno kosilo, ki ga lahko postrežete s številnimi prilogami.",30,158
Jagodna pita z mrežo,Sladice,1,120,260,8,11,"Ko zorijo jagode, se mi v mislih poraja tisoč in en recept, kako lahko izkoristim ta čudoviti zaklad iz vrta.Navadno se vedno odločim za preproste, stare recepte, za katere vem, da z njimi ne morem zgrešiti. Mogoče kdaj dodam tudi kaj po trenutnem navdihu, osnovni recept pa ostaja nespremenjen. Tokrat sem pripravila jagodno pito, pri čemer sem v testo dodala pirino moko, jagodam pa sem dodala malenkost mete, ki še bolj poudari njihovo naravno sladkobo.",75,382
Testenine s paradižnikom in burrato,Testenine in žita,1,20,221,7,7,"Testenine s sladko-kislo omako iz češnjevega paradižnika, česna in bazilike, ki jim slastno kremoznost da burrata. Jed ni samo izjemno preprosta za pripravo, ampak je tudi nepozabno okusna.",28,162
Češnjeva pita z maskarponejevo kremo,Pomlad,2,115,337,4,13,"'Rdeče češnje rada jem, češnjevo pito pa še rajši,' si boste najverjetneje prepevali, medtem ko se boste sladkali s to čudovito domačo sladico. Da bo užitek še večji, si zraven privoščite kozarec domačega bezgovega soka.",35,186
Langaš z jogurtom,Predjedi in prigrizki,1,300,256,4,8,"Čeprav se langaš navadno pripravlja iz krompirjevega testa, je naravnost izvrsten tudi ta, pripravljen iz kvašenega testa z dodatkom jogurta. Marsikomu je še celo boljši, saj testo ni tako zelo mastno.",31,171
Bezgov sirup z jagodami,Triki in nasveti,1,30,141,5,6,"Trendi napitek letošnjega poletja, ki ga lahko z nekaj truda in potrpežljivosti pripravite kar sami. Sirup ima prijeten okus po jagodah in bezgu, zaradi dodatka citronske kisline in limon pa je tudi prijetno osvežilen. Razredčite ga lahko z navadno ali mineralno vodo.",42,227
Piščančji file v smetanovi omaki s špinačo in suhimi paradižniki,Meso,1,23,165,6,12,"Okusna kombinacija nežnega piščančjega mesa v slastni smetanovi omaki, obogateni s špinačo in suhimi paradižniki. Jed vas bo navdušila v več pogledih, saj poleg tega, da je pripravljena zgolj v eni ponvi in manj kot pol ure, je tudi tako dobra, da boste krožnike z veseljem pomazali do zadnje kapljice. Kar se tiče prilog, lahko zraven postrežete samo kos ali dva kruha in skledo solate.",65,323
Jagodna kupola,Sladice,2,30,172,6,10,"Sladica, v katero ne boste vložili veliko truda, boste pa z njo naredili velik vtis na goste. Pečice vam ne bo treba prižigati, potrebujete samo nekaj sestavin in večjo okroglo skledo. Če želite brezglutensko različico, namesto navadnih uporabite brezglutenske savoiardi piškote.",41,239
V pečici pečena vratovina s krompirjem,Kosilo,1,108,121,4,6,"Okusno (nedeljsko) kosilo iz pečice, med pripravo katerega boste imeli dovolj časa, da še kaj postorite.",16,89
Borovničeve cheesecake rezine,Pecivo,1,65,282,8,15,"Krhka piškotna podlaga, bogata krema, sočne borovnice in drobljenec. Izvrstna poslastica, ki vas bo zagotovo navdušila, še zlasti če imate radi sladice, ki so hkrati krhke in sočne. Ker se lepo reže na kose, je pecivo primerno za številne priložnosti, od domačih zabav do piknikov, zraven pa lahko postrežemo različne pijače in napitke - od bezgovega soka ali skodelice kave, do kakšnega osvežilnega poletnega koktajla.",65,355
Pomladna skleda s šparglji,Zdravo in vegi,1,20,190,6,17,"Brezmesni obrok, ki ga morate uvrstiti na pomladni jedilnik, saj je prepoln okusnih in zdravih dobrot. Je nasiten, a hkrati osvežilen, za kar poskrbi odličen preliv.",26,140
Hitri pita kruhki,Piknik in žar,1,35,383,4,6,"Odlični kruhki, ki jih lahko uporabite za pripravo domačega gyrosa ali pa ponudite kot prilogo k enolončnicam in curryjem.",19,104
Clafoutis (klafuti) z jagodami,Sladice,1,50,117,5,11,"Clafoutis (izgovori se klafuti) je priljubljena francoska sladica s sadjem, ki se originalno pripravlja v litoželezni ponvi in speče v pečici. Če litoželezne ponve nimate, lahko uporabite tudi manjši okrogel ali pravokoten pekač. Postopek je zelo preprost, saj iz moke, jajc, mleka/smetane in sladkorja pripravimo gladko testo, s katerim prelijemo sadje, ki smo ga dodali v ponev ali pekač, nato pa vse skupaj potisnemo v ogreto pečico. Najbolj priljubljen in poznan je clafoutis s črnimi češnjami, tokrat pa vam predstavljamo različico z jagodami, ki vas bo zagotovo tudi navdušila.",89,495
Bezgova panakota z limoninim sirupom,Sladice,1,30,328,6,7,"Če ste si naredili zalogo domačega bezgovega sirupa, ga lahko uporabite za pripravo osvežilne panakote.",15,89
Palačinke brez mleka,Sladice,1,10,244,3,6,"Mleko v klasičnem receptu za palačinke enostavno nadomestite z vodo. Dobili boste zelo mehke in okusne palačinke, ki vas bodo preprosto navdušile. Če želite, da bodo palačinke še bolj rahle, lahko del tekočine v receptu nadomestite tudi z mineralno vodo.",40,215
Rolada z vanilijevo kremo in jagodami,Sladice,1,105,250,9,13,"Rahel biskvit, razkošna vanilijeva krema z maskarponejem in koščki svežih jagod, ki poskrbijo za sočnost ter svežino. Sama priprava rolade ni zahtevna in vam tudi ne bo vzela veliko časa, imejte pa v mislih, da je dobro, da se sladica pred serviranjem dobro ohladi.",44,222
Sofficini,Italijanska,2,40,304,5,15,"Znana italijanska specialiteta, ki jo pripravimo in postrežemo na mizo v dobre pol ure. Jed je tako dobra, da si boste obliznili vse prste, sestavine zanjo pa zagotovo tudi že imate doma. Ko boste sofficine poskusili, bodo zagotovo večkrat na vašem jedilniku.",42,218
Skutin narastek (brez moke),Brez glutena,1,55,130,5,11,"Skutin narastek je zelo rahel, zato se kar stopi v ustih. Sama priprava je zelo hitra, nekaj časa vam bo vzela samo peka v pečici. Če ste zelo neučakani, lahko sladico postrežete, ko je še topla. Za piko na i ji dodajte sveže sadje in malo stepene sletane, k sladici pa se odlično prileže tudi skodelica kave.",57,253
Testenine z morskimi sadeži,Na hitro,1,20,153,6,10,"Testenine z morskimi sadeži v rahlo pikantni paradižnikovi omaki. Okusen obrok, ki ga pripravite v samo 20 minutah in bo zagotovo popestril vaš jedilnik. Celotni posopek priprave te ekspresne jedi si lahko ogledate v spodnjem videu.",36,197
Krhka torta z malinami,Pomlad,2,95,365,6,12,"Vsak dan opažam, koliko ljudi ima alergije na določena živila. Ta prekrasna krhka torta s sadjem je super rešitev za vse, ki imate alergijo na jajca, saj jih ne vsebuje in bo zagotovo teknila vsem. Če zraven postrežete še stepeno smetano in kepico sladoleda, se je bodo vsi gostje zagotovo še dolgo spominjali.",53,258
Piščančji gyros,Piknik in žar,1,45,146,7,24,"Po vsem svetu priljubljena grška jed, ki smo jo tokrat pripravili z mariniranimi piščančjimi bedri, tzatzikijem, hitro solato in ekspresno pripravljenimi domačimi pita kruhki. Za piknike lahko vse pripravite vnaprej, meso spečete na žaru, gostje pa si lahko jed postrežejo kar sami.",42,241
"Pecivo s piškoti, pudingom in višnjami",Sladice,1,30,228,7,8,"Simpatična sladica s podlago in pokrovom iz piškotov, med katerima se skrivajo plasti vanilijeve puding kreme in višenj. Uporabite lahko poljubne piškote pravokotne oblike, višnje pa lahko zamenjate s češnjami ali katerim drugim sadjem.",34,203
Golaž s kruhovimi cmoki,Kosilo,1,175,133,10,23,"Predlog za odlično kosilo, ki si ga lahko pripravite na zalogo in zamrznete za dneve, ko vam bo primanjkovalo časa. Hkrati pa so kruhovi cmoki tudi odlična rešitev, da porabite viške kruha.",32,158
Testeninska solata,Piknik in žar,1,25,115,5,12,"Osvežilna piknik solata, polna dobrot, ki jo lahko pripravite s katerokoli vrsto testenin. Mi smo izbrali pirine peresnike, ki skupaj z bučkami, češnjevim paradižnikom, artičokami, olivami in feta sirom popeljejo v sončno Grčijo. Za večje družbe sestavine podvojite.",38,229
Tunin namaz z jajci,Ribe in morski sadeži,1,25,184,3,6,"Ko ne veste, kaj bi pripravili za zajtrk ali večerjo, je tunin namaz vedno odlična izbira. Hitro je narejen, sestavine imate navadno vedno pri roki, poleg tega pa ga z veseljem pojedo tudi vsi družinski člani. Lahko ga namažete na kruh ali krekerje, odličen pa je tudi serviran v majhni posodici kot dodatna jed na pikniku ali zabavi.",58,277
Dušena vratovina v omaki s papriko,Meso,1,130,136,8,11,"Sočni zrezki v omaki so odlična ideja za okusno vikend kosilo. Tokrat smo uporabili vratovino, ki smo jo pripravili v bogati zelenjavni omaki s papriko. Zraven postrezite pečen ali pire krompir, polento ali kruhove cmoke, skoraj obvezen dodatek pa je tudi na rezine narezan kruh, s katerim boste lonec in krožnike pomazali do zadnje kapljice.",55,288
Borovničev tiramisu v kozarcu,Sladice,1,45,367,5,11,"Morda se boste obregnili ob dejstvo, da to ni pravi tiramisu, zato lahko sladico sami poimenujete tudi kako drugače. A dejstvo je, da je priprava klasičnega tiramisuja z raznoraznimi sadnimi dodatki in manjšimi zamenjavami sestavin, v zadnjih letih postala pravi hit, čemur sledimo tudi mi. In zato vam tokrat predstavljamo recept za božanski borovničev tiramisu, v katerem za namakanje piškotov namesto kave uporabimo limonin sirup. Rezultat je osvežilna in lahka sladica z eno samo pomanjkljivostjo: en kozarček vam verjetno ne bo dovolj.",82,459
Aperol Spritz,Zabava,1,5,0,2,5,"Pravi Aperol Spritz ima okus po italijanskem poletju in je videti kot oranžen sončni zahod. Priljubljen koktajl je prijetno osvežilen in tudi ni preveč sladek, zato je popolna pijača za vroče poletje. Za njegovo pripravo poleg ledu potrebujemo zgolj štiri sestavine.",41,226
Domače lepinje,Piknik in žar,2,90,373,7,6,"Le nekaj sestavin in malo vašega časa, pa boste lahko uživali v mehkih in puhastih domačih lepinjah, ki bodo šle v slast vsem gurmanom in brez katerih si domačih piknikov ne boste mogli več predstavljati.",35,170
Jagodna panakota,Sladice,1,45,196,7,12,"Odlična sladica v kozarcu, ki bo popestrila vsako zabavo in druženje. Ker za njeno pripravo ne potrebujete pečice, je primerna tudi za vroče poletne dni.",25,129
Donavski valovi,Sladice,1,65,373,10,15,"Odlično pecivo za praznovanja in zabave. Za značilen videz poskrbijo vložene višnje (ali češnje), ki se pogreznejo v čokoladni biskvit, zaradi česar ga dvignejo in tako nastane videz valov. Pecivo je najboljše dan ali dva potem, ko ga pripravimo.",39,208
